codigo;nombre;acronimo;curso;semestre;tipo;creditos
95000047;SUBSISTEMAS DE RADIOFRECUENCIA;SURF;4;2S;opt;4.5
95000050;REDES CORPORATIVAS;RECO;4;1S;opt;6
95000051;SEGURIDAD EN SISTEMAS  Y REDES DE TELECOMUNICACIÓN;SEGU;4;1S;opt;4.5
95000052;REDES DE COMUNICACIONES MÓVILES;RCMO;4;1S;opt;6
95000053;INGENIERÍA WEB;IWEB;4;1S;opt;6
95000054;CENTROS DE DATOS Y DE PROVISIÓN DE SERVICIOS;CDPS;4;1S;opt;4.5
95000055;REDES Y SERVICIOS DE RADIO;RSRD;4;2S;opt;4.5
95000056;DIMENSIONADO Y OPERACIÓN DE REDES;DORE;4;2S;opt;6
95000057;INGENIERÍA DE SISTEMAS Y SERVICIOS TELEMÁTICOS;ISST;4;2S;opt;4.5
95000060;DISEÑO DE SISTEMAS ELECTRÓNICOS DIGITALES;DSED;4;1S;opt;6
95000061;ARQUITECTURA DE PROCESADORES;ARQU;4;1S;opt;4.5
95000062;FABRICACIÓN DE EQUIPOS ELECTRÓNICOS;FEEL;4;1S;opt;4.5
95000063;SISTEMAS ELECTRÓNICOS ANALÓGICOS Y MIXTOS;SEAM;4;1S;opt;6
95000064;INSTRUMENTACION ELECTRONICA;IELE;4;1S;opt;6
95000065;INGENIERÍA DE SISTEMAS ELECTRÓNICOS;ISEL;4;2S;opt;4.5
95000066;SISTEMAS ELECTRÓNICOS DE CONTROL;SECO;4;2S;opt;4.5
95000067;SISTEMAS PARA CONECTIVIDAD;SCON;4;2S;opt;3
95000068;ELECTRONICA DE CONSUMO;ELCO;4;2S;opt;3
95000070;TRATAMIENTO DIGITAL DE VOZ Y AUDIO;TDVA;4;1S;opt;6
95000071;TRATAMIENTO DIGITAL DE IMÁGENES Y VÍDEO;TDIV;4;1S;opt;6
95000072;EQUIPOS Y SISTEMAS AUDIOVISUALES;EQSA;4;1S;opt;6
95000073;DIFUSIÓN Y SERVICIOS DE RED;DSRE;4;2S;opt;6
95000074;COMUNICACIONES AUDIOVISUALES;CMAV;4;2S;opt;6
95000075;TELEVISION;TV;4;1S;opt;6
95000076;PRODUCCIÓN MULTIMEDIA;PROD;4;2S;opt;6
95000077;HERRAMIENTAS PARA LA COMPUTACIÓN Y VISUALIZACIÓN;HCOV;2;1S-2S;opt;4.5
95000078;ESTRUCTURA DE LA MATERIA;ESMT;2;2S;opt;4.5
95000079;DIBUJO POR ORDENADOR;DBOR;2;1S;opt;4.5
95000080;SISTEMAS DE CÁLCULO SIMBÓLICO;SCAS;2;1S;opt;4.5
95000082;TRABAJO FIN DE GRADO;TFG;4;1S-2S;opt;12
95000083;TECNOLOGÍAS WEB DE CLIENTE;TEWC;2;2S;opt;4.5
95000086;FOTONICA DE CONSUMO;FOCO;2;1S;opt;4.5
95000087;LABORATORIO DE TÉCNICAS ELECTRO-TERMOQUÍMICAS;LTET;2;2S;opt;4.5
95000088;INSTALACIONES ELÉCTRICAS;INSE;3;1S;opt;4.5
95000089;INTRODUCCIÓN A LA ROBÓTICA INTELIGENTE;IRIN;3;2S;opt;4.5
95000090;NANOTECNOLOGÍA PARA LA INFORMACIÓN Y LAS COMUNICACIONES;NTIC;3;1S;opt;4.5
95000092;INGENIERIA DE TELECOMUNICACION EN COOPERACION PARA EL DESARROLLO;ITCD;3;2S;opt;4.5
95000094;BIOINGENIERÍA Y TELECOMUNICACIÓN;BITC;3;2S;opt;4.5
95000096;SISTEMAS DE INFORMACIÓN GEOGRÁFICA Y TERRITORIAL;SIGT;3;2S;opt;4.5
95000098;INTRODUCCIÓN A LOS ENTORNOS INTELIGENTES;IEIN;2;2S;opt;4.5
95000100;TRABAJO FIN DE GRADO;;4;1S-2S;obl;12
95000101;MATEMÁTICAS I;MAT1;1;1S;bas;6
95000102;FÍSICA;FISC;1;1S;bas;6
95000103;QUÍMICA;QUIM;1;1S;bas;6
95000104;BIOLOGIA;BIOL;1;1S;bas;6
95000105;ESTADISTICA;ESTD;1;2S;bas;6
95000106;MATEMATICAS II;MAT2;1;2S;bas;6
95000107;BIOQUÍMICA ESTRUCTURAL;BQST;1;2S;obl;6
95000108;BIOLOGÍA CELULAR Y TISULAR;BICT;1;2S;obl;6
95000109;FUNDAMENTOS DE PROGRAMACION;FPRG;1;1S;bas;6
95000110;FUNDAMENTOS DE BIOMECÁNICA;FBMC;2;1S;obl;6
95000111;USO PROFESIONAL DE LA LENGUA INGLESA;UPLI;2;2S;bas;6
95000112;ANALISIS INSTRUMENTAL;AINS;2;1S;obl;6
95000113;BIOMECÁNICA DE MEDIOS CONTINUOS;BIMC;2;2S;obl;6
95000114;MATEMATICAS III;MAT3;2;1S;obl;6
95000115;FÍSICA II ;FIS2;1;2S;bas;6
95000116;FUNDAMENTOS DE ELECTRÓNICA;FELT;2;1S;bas;6
95000117;FISIOLOGÍA DE SISTEMAS;FSIT;2;2S;obl;6
95000118;ECONOMIA Y GESTION DE EMPRESAS;ECON;2;1S;obl;6
95000119;SISTEMAS Y SEÑALES;SSIT;2;2S;obl;6
95000120;SISTEMAS ELECTRÓNICOS;SELC;2;2S;obl;6
95000121;SEÑALES BIOMEDICAS;SBIO;3;1S;obl;6
95000122;FISIOPATOLOGÍA HUMANA;FISH;3;1S;obl;6
95000123;MODELOS NUMÉRICOS EN BIOMEDICINA;MNUB;3;1S;obl;6
95000124;BASES DE DATOS;BBDD;3;2S;obl;6
95000125;BIOINSTRUMENTACION;BINS;3;2S;obl;6
95000126;IMAGENES BIOMEDICAS;IMAG;3;2S;obl;6
95000127;BIOMATERIALES;BMAT;3;2S;obl;6
95000128;REDES DE COMUNICACIONES;RCOM;3;1S;obl;6
95000129;ARQUITECTURA DE COMPUTADORES Y SSOO;ARSO;3;2S;obl;6
95000130;ALGORITMOS Y ESTRUCTURAS DE DATOS;ALED;3;1S;obl;6
95000150;LABORATORIO DE IMAGENES BIOMEDICAS;LIM;4;1S;opt;4
95000151;INGENIERIA CLINICA Y DE GESTION DE SISTEMAS SANITARIOS;ICL;4;1S;obl;4
95000152;MODELADO Y SIMULACION DINAMICA APLICADA A LA BIOMEDICINA;MOD;4;1S;opt;4
95000153;LABORATORIO DE SEÑALES BIOMEDICAS;LSB;4;1S;opt;4
95000154;LABORATORIO DE BIOINSTRUMENTACION;LBI;4;1S;opt;4
95000155;INGENIERÍA DE TEJIDOS;IT;4;1S;obl;4
95000156;LABORATORIO DE MATERIALES BIOLOGICOS Y BIOMATERIALES;LMBB;4;2S;opt;4
95000157;BIOSENSORES;BSEN;4;2S;obl;4
95000158;DESARROLLO DE DISPOSITIVOS MEDICOS;DDIS;4;2S;opt;4
95000159;LABORATORIO DE BIOMECANICA;LBMC;4;2S;opt;4
95000160;HISTORIAS CLINICAS, TERMINOLOGIAS Y ESTANDARES;HCTE;4;2S;opt;4
95000161;SISTEMAS DE INFORMACION BIOMEDICA;SIB;4;1S;opt;4
95000162;SISTEMAS DE AYUDA A LA DECISION MEDICA;SAD;4;2S;opt;4
95000163;BIOINFORMÁTICA ;;4;1S;obl;4
95000164;MINERÍA DE DATOS EN BIOMEDICINA;;4;2S;obl;4
95000165;NLP Y RECUPERACION DE INFORMACION;;4;2S;opt;4
95000166;TECNOLOGIAS WEB EN BIOMEDICINA;;4;1S;opt;4
95000167;BASES DE DATOS Y SISTEMAS DE SALUD PUBLICA;;4;1S;opt;4
95000168;e-HEALTH;;4;2S;obl;4
95000169;TELEMEDICINA;TLM;4;2S;opt;4
95000170;REDES Y SERVICIOS;RSER;4;1S;opt;4
95000171;TRATAMIENTO DIGITAL DE IMÁGENES BIOMÉDICAS;TDI;4;1S;obl;4
95000172;INTERFACES HOMBRE-MÁQUINA;IHM;4;1S;obl;4
95000173;LABORATORIO DE TELEMEDICINA;LTLM;4;2S;obl;4
95000174;TECNOLOGIAS SISTEMAS PERSONALES SANITARIOS;;4;2S;opt;4
95000175;TECNOLOGÍAS ASISTIVAS;;4;2S;opt;4
95000176;INGENIERIA NEUROSENSORIAL;INS;4;2S;opt;4
95000177;IMAGENES BIOMEDICAS AVANZADAS I;IBA;4;1S;opt;4
95000178;SIMULACION Y PLANIFICACION QUIRURGICA;SIP;4;2S;opt;4
95000179;IMÁGENES BIOMÉDICAS AVANZADAS II;IMA2;4;2S;obl;4
95000180;BIOFOTONICA;BFT;4;2S;opt;4
95000181;PROGRAMAS DE INTERCAMBIO OBL.ITIN.4ºCURSO 1ER SEMESTRE;;4;1S;opt;27
95000182;PROGRAMAS DE INTERCAMBIO OBL.ITIN.4ºCURSO 1ER SEMESTRE;;4;1S;opt;30
95000183;PROGRAMAS DE INTERCAMBIO OBL.ITIN.4ºCURSO 2DO SEMESTRE;;4;2S;opt;15
95000184;PROGRAMAS DE INTERCAMBIO OBL.ITIN.4ºCURSO 2DO SEMESTRE;;4;1S-2S;opt;12
95000185;PROGRAMAS DE INTERCAMBIO OPTATIVAS 4ºCURSO 3 ECTS;;4;1S-2S;opt;3
95000186;PROGRAMAS DE INTERCAMBIO OPTATIVAS 4ºCURSO 6 ECTS;;4;1S-2S;opt;6
95000190;GESTIÓN EFICAZ DE EQUIPOS DE TRABAJO;GEET;4;1S-2S;opt;3
95000191;DESARROLLO PERSONAL Y GESTIÓN DE CARRERA;DPGC;4;1S-2S;opt;3
95000192;CREATIVIDAD E INNOVACION;CRIN;4;2S;opt;3
95000193;CREATIVIDAD Y EMPRENDIMIENTO EN LOS SISTEMAS TIC;;4;2S;opt;3
95000194;PRACTICAS EXTERNAS 2;;4;I;opt;2
95000195;PRACTICAS EXTERNAS 3;;4;I;opt;3
95000196;PRACTICAS EXTERNAS 4;;4;I;opt;4
95000197;PRACTICAS EXTERNAS 5;;4;I;opt;5
95000198;PRACTICAS EXTERNAS;;4;I;opt;4
95000199;PRACTICAS EXTERNAS;;4;I;opt;4
95000200;PROGRAMAS DE INTERCAMBIO OBL ITIN;;4;I;opt;9
95000201;PROGRAMAS DE INTERCAMBIO OBL ITIN;;4;I;opt;6
95000202;PROGRAMAS DE INTERCAMBIO OBL ITIN;;4;I;opt;4.5
95000203;PROGRAMAS DE INTERCAMBIO OBL ITIN;;4;I;opt;3
95000204;PROGRAMAS DE INTERCAMBIO OBL ITIN;;4;I;opt;4
95000205;PROGRAMAS DE INTERCAMBIO OBL ITIN;;4;I;opt;8
95000206;PROGRAMAS DE INTERCAMBIO OPTATIVAS;;4;I;opt;4
95000207;PROGRAMAS DE INTERCAMBIO OPTATIVAS;;4;I;opt;8
95000208;PROGRAMAS DE INTERCAMBIO OBL TFG;;4;I;opt;12
95000209;PRACTICAS EXTERNAS;;4;I;opt;3
95000210;PRACTICAS EXTERNAS;;4;I;opt;5
95000211;PRACTICAS EXTERNAS;;4;I;opt;6
95000212;PROGRAMAS DE INTERCAMBIO OBL ITIN 9 CREDS;;4;I;opt;9
95000213;PROGRAMAS DE INTERCAMBIO OBL ITIN 6 CREDS;;4;I;opt;6
95000214;PROGRAMAS DE INTERCAMBIO OBL ITIN 4,5 CREDS;;4;I;opt;4.5
95000215;PROGRAMAS DE INTERCAMBIO OBL ITIN 3 CREDS;;4;I;opt;3
95000216;PROGRAMAS DE INTERCAMBIO OBL ITIN 4 CREDS;;4;I;opt;4
95000217;PROGRAMAS DE INTERCAMBIO OBL ITIN 8 CREDS;;4;I;opt;8
95000218;PROGRAMA INTERCAMBIO AYUDA A LA DECISION (4);;4;I;opt;4
95000219;PROGRAMA INTERCAMBIO BASES DE DATOS I (4);;4;I;opt;4
95000220;PROGRAMA INTERCAMBIO BASES DE DATOS II (8);;4;I;opt;8
95000221;PROGRAMA INTERCAMBIO BIOINFORMATICA (4);;4;I;opt;4
95000222;PROGRAMA INTERCAMBIO BIOMATERIALES I (4);;4;I;opt;4
95000223;PROGRAMA INTERCAMBIO BIOMATERIALES II (4);;4;I;opt;4
95000224;PROGRAMA INTERCAMBIO BIOMECANICA (4);;4;I;opt;4
95000225;PROGRAMA INTERCAMBIO DISPOSITIVOS BIOMEDICOS I (4);;4;I;opt;4
95000226;PROGRAMA INTERCAMBIO DISPOSITIVOS BIOMEDICOS II (8);;4;I;opt;8
95000227;PROGRAMA INTERCAMBIO EMPRESA (4);;4;I;obl;4
95000228;PROGRAMA INTERCAMBIO GESTION DE INFORMACION BIOMEDICA I (4);;4;I;opt;4
95000229;PROGRAMA INTERCAMBIO GESTION DE INFORMACION BIOMEDICA II (4);;4;I;opt;4
95000230;PROGRAMA INTERCAMBIO GESTION DE INFORMACION BIOMEDICA III (8);;4;I;opt;8
95000231;PROGRAMA INTERCAMBIO INTERFACES (4);;4;I;opt;4
95000232;PROGRAMA INTERCAMBIO METODOS NUMERICOS (4);;4;I;opt;4
95000233;PROGRAMA INTERCAMBIO SEÑALES E IMAGENES BIOMEDICAS I (4);;4;I;opt;4
95000234;PROGRAMA INTERCAMBIO SEÑALES E IMAGENES BIOMEDICAS II (8);;4;I;opt;8
95000235;PROGRAMA INTERCAMBIO SEÑALES E IMAGENES BIOMEDICAS III (12);;4;I;opt;12
95000236;PROGRAMA INTERCAMBIO TELEMEDICINA I (4);;4;I;opt;4
95000237;PROGRAMA INTERCAMBIO TELEMEDICINA II (8);;4;I;opt;8
95000238;PROGRAMA INTERCAMBIO OPTATIVA I (2);;4;I;opt;2
95000239;PROGRAMA INTERCAMBIO OPTATIVA II (3);;4;I;opt;3
95000240;PROGRAMA INTERCAMBIO OPTATIVA III (4);;4;I;opt;4
95000241;PROGRAMA INTERCAMBIO OPTATIVA IV (4);;4;I;opt;4
95000242;INFRAESTRUCTURA DE DATOS ESPACIALES;IDE;2;2S;opt;4.5
95000244;SISTEMAS BASADOS EN APRENDIZAJE AUTOMÁTICO;SIBA;4;1S;opt;3
95000245;ERGONOMÍA DE INTERACCIÓN PERSONA-MÁQUINA;EIPM;4;1S;opt;3
95000246;INGENIERÍA DE LA MÚSICA;IMUS;4;1S;opt;3
