codigo;nombre;acronimo;curso;semestre;tipo;creditos
93000839;NANOELECTRONICA;NELC;2;2S;opt;6
93000840;DISPOSITIVOS SEMICONDUCTORES;DSMC;2;1S;opt;6
93000841;FUNDAMENTOS DE BIOINGENIERIA;FBIO;2;1S;opt;6
93000842;SEÑALES E IMÁGENES MÉDICAS;SÑIM;2;1S;opt;6
93000843;TELEMEDICINA;TMED;2;1S;opt;6
93000844;INGENIERIA NEUROSENSORIAL;INRS;2;1S;opt;6
93000845;BIOSENSORES;BIOS;2;2S;opt;6
93000846;DIRECCION Y ADMINISTRACION DE EMPRESAS;DAEM;2;1S;opt;4.5
93000847;SISTEMAS DE INFORMACIÓN PARA LA GESTIÓN EMPRESARIAL;SIG1;2;1S;opt;4.5
93000848;INNOVACIÓN TECNOLÓGICA Y DE NEGOCIO;INTN;2;1S;opt;4.5
93000849;ESTRATEGIAS Y TÉCNICAS PARA LA TOMA DE DECISIONES;ETTD;2;1S;opt;4.5
93000850;POLITICAS Y REGULACION DE LOS MERCADOS TIC;RTIC;2;2S;opt;3
93000851;GESTIÓN FINANCIERA DE LA EMPRESA;GFEM;2;;opt;3
93000852;SISTEMAS Y TECNOLOGÍAS DE LA INFORMACIÓN PARA LA GESTIÓN EMPRESARIAL II;SIG2;2;2S;opt;3
93000853;CREACION DE EMPRESAS TECNOLOGICAS;CETC;2;2S;opt;3
93000854;ANÁLISIS DE DATOS E INTELIGENCIA DE NEGOCIO;ADIN;2;2S;opt;3
93000855;ANALISIS DEL NEGOCIO TIC;NTIC;2;2S;opt;3
93000856;ANÁLISIS DE LA DEMANDA Y PROSPECTIVA DEL MERCADO TIC;DTIC;2;;;3
93000860;PRÁCTICAS DE EMPRESA;;2;I;opt;6
93000870;TRABAJO FIN DE MÁSTER;TFM;2;1S-2S;obl;30
93000871;TECNICAS NUMERICAS;;1;1S;obl;3
93000872;TECNICAS DE OPTIMIZACION;TOPT;1;1S;obl;3
93000873;TECNICAS DE MONTE CARLO;TMON;1;1S;obl;3
93000874;SOFTWARE ESTADISTICO;SWES;1;1S;obl;3
93000875;METODOS DE ANALISIS MULTIVARIANTE;AMUL;1;1S;bas;3
93000876;METODOS DE REGRESION Y PREDICCION;MREG;1;1S;bas;3
93000877;REDES NEURONALES Y APRENDIZAJE ESTADÍSTICO;RNAE;1;1S;obl;3
93000878;TECNICAS DE RECONOCIMIENTO DE PATRONES;TRPA;1;1S;obl;3
93000879;MINERIA DE DATOS;MDAT;1;1S;obl;3
93000880;SERIES TEMPORALES;STMP;1;1S;obl;3
93000883;CALCULO ESTOCASTICO EN FINANZAS;CEFI;1;2S;opt;3
93000884;METODOS NUMERICOS EN FINANZAS;MNFI;1;2S;opt;3
93000885;TEORIA DE JUEGOS;TJUE;1;2S;opt;3
93000886;MODELIZACION CON INCERTIDUMBRE. INFORMACION DIFUSA Y SOFT COMPUTING;IDIF;1;2S;opt;3
93000887;ANALISIS Y MODELIZACION DE DATOS CATEGORICOS. APLICACIONES;ADAC;1;2S;opt;3
93000888;ANALISIS DE REDES SOCIALES;ARES;1;2S;obl;3
93000889;METODOS TIEMPO-FRECUENCIA E IMÁGENES;MTFI;1;2S;obl;3
93000890;MUNDO INTERCONECTADO. UNA INTRODUCCION PRACTICA A LA CIENCIA DE LAS REDES;MINT;1;2S;opt;3
93000891;TRABAJO FIN DE MASTER;TFM;1;I;obl;12
93000895;PRACTICAS EN EMPRESA;;2;I;opt;3
93000896;BIG DATA: FUNDAMENTOS E INFRAESTRUCTURAS;SIBD;2;1S;opt;6
93000898;ESTADISTICA BAYESIANA;ESBY;1;2S;opt;3
93000899;APLICACIONES Y SERVICIOS AVANZADOS DE INTERNET;ASAI;1;2S;obl;4.5
93000900;ARQUITECTURA Y GESTION DE SERVICIOS TELEMATICOS;AGST;1;1S;bas;4.5
93000901;REDES DE DATOS POR SATELITE: VSAT, MOVILES Y POR DIFUSION DE TV;RSVM;1;1S;obl;4.5
93000902;SEGURIDAD EN REDES DE TELECOMUNICACION;SEGR;1;2S;obl;4.5
93000903;SIMULACION DE REDES DE COMUNICACIONES;SIRC;1;1S;obl;4.5
93000904;SISTEMAS DE INFORMACION Y BASES DE DATOS WEB;SBDW;1;1S;obl;4.5
93000905;TEMAS AVANZADOS DE REDES DE ORDENADORES;TARO;1;1S;obl;4.5
93000906;TECNOLOGÍAS INTELIGENTES PARA ANÁLISIS DE DATOS;TIAD;1;2S;obl;4.5
93000907;FUNDAMENTOS DE SISTEMAS DE INFORMACIÓN PARA BIG DATA;FBID;1;1S;opt;4.5
93000908;SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE;SDCN;1;1S;opt;4.5
93000909;TRABAJO FIN DE MASTER;TFM;1;I;obl;15
93000910;PROGRAMAS DE INTERCAMBIO OPTATIVA I;;2;I;opt;6
93000911;PROGRAMAS DE INTERCAMBIO OPTATIVA II;;2;I;opt;6
93000912;PROGRAMAS DE INTERCAMBIO OPTATIVA III;;2;I;opt;18
93000913;PROGRAMAS DE INTERCAMBIO OPTATIVA IV;;2;I;opt;3
93000914;PROGRAMAS DE INTERCAMBIO OPTATIVA V;;2;I;opt;3
93000915;PROGRAMAS DE INTERCAMBIO OPTATIVA VI;;2;I;opt;4.5
93000916;PROGRAMAS DE INTERCAMBIO OPTATIVA VII;;2;I;opt;4.5
93000917;PROGRAMAS DE INTERCAMBIO OPTATIVA VIII;;2;I;opt;15
93000918;HERRAMIENTAS INFORMATICAS PARA BIG DATA;HIBD;1;2S;opt;3
93000960;ORGANIZACIÓN DE EMPRESAS DE TECNOLOGÍA MÉDICA;OETM;1;1S;bas;3
93000961;DISEÑO DE TECNOLOGÍAS BIOMÉDICAS;DTB;1;1S;obl;3
93000962;PROYECTOS DE INVESTIGACIÓN Y DESARROLLO DE IB;PID;1;1S;bas;3
93000963;PROYECTOS PROFESIONALES EN IB;PPIB;1;2S;bas;6
93000964;TELEMEDICINA;TEL;1;1S;opt;3
93000965;MODELADO DE SISTEMAS BIOMÉDICOS;MOD;1;1S;obl;3
93000966;BIOINSTRUMENTACIÓN;BINS;1;1S;opt;3
93000967;IMÁGENES MÉDICAS;IBIO;1;1S;obl;3
93000968;SEÑALES BIOMÉDICAS;SBIO;1;1S;opt;3
93000969;BIOMECÁNICA;BMEC;1;1S;opt;3
93000970;GESTIÓN E INNOVACIÓN EMPRESARIAL EN IB;GEIB;1;1S;obl;3
93000971;ANÁLISIS INTELIGENTE DE DATOS MÉDICOS;AIDM;1;1S;obl;3
